impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.660,219.748
nccl,512,2048,5.405,378.912
nccl,1024,4096,4.990,820.825
nccl,2048,8192,4.956,1653.103
nccl,4096,16384,5.100,3212.692
nccl,8192,32768,5.095,6431.397
nccl,16384,65536,5.236,12517.209
nccl,32768,131072,5.245,24988.901
nccl,65536,262144,5.175,50657.066
nccl,131072,524288,5.316,98633.023
nccl,262144,1048576,5.065,207015.604
nccl,524288,2097152,5.105,410840.403
nccl,1048576,4194304,5.131,817480.764
nccl,2097152,8388608,5.571,1505857.997
nccl,4194304,16777216,4.724,3551286.610
nccl,8388608,33554432,4.710,7124145.196
nccl,16777216,67108864,4.715,14233879.985
nccl,33554432,134217728,4.755,28225116.742
nccl,67108864,268435456,4.776,56210679.323
nccl,134217728,536870912,4.765,112674496.557
nccl,268435456,1073741824,5.050,212634543.313
nccl,536870912,2147483648,4.715,455484159.532
nccl,1073741824,4294967296,4.805,893793029.496
naive,256,1024,89.170,11.484
naive,512,2048,87.935,23.290
naive,1024,4096,93.755,43.689
naive,2048,8192,94.230,86.936
naive,4096,16384,95.919,170.810
naive,8192,32768,96.275,340.360
naive,16384,65536,97.185,674.340
naive,32768,131072,100.100,1309.410
naive,65536,262144,106.186,2468.732
naive,131072,524288,117.855,4448.582
naive,262144,1048576,591.655,1772.277
naive,524288,2097152,791.124,2650.851
naive,1048576,4194304,652.760,6425.489
naive,2097152,8388608,895.716,9365.255
naive,4194304,16777216,924.995,18137.630
naive,8388608,33554432,1274.520,26327.110
naive,16777216,67108864,2214.556,30303.533
naive,33554432,134217728,3537.555,37940.820
naive,67108864,268435456,5275.429,50884.095
naive,134217728,536870912,9928.296,54074.831
naive,268435456,1073741824,19473.079,55139.806
naive,536870912,2147483648,37880.836,56690.504
naive,1073741824,4294967296,73110.895,58745.927
pipelined,256,1024,293.115,3.494
pipelined,512,2048,294.650,6.951
pipelined,1024,4096,266.175,15.388
pipelined,2048,8192,250.729,32.673
pipelined,4096,16384,251.820,65.062
pipelined,8192,32768,248.259,131.991
pipelined,16384,65536,268.140,244.410
pipelined,32768,131072,284.760,460.289
pipelined,65536,262144,301.100,870.621
pipelined,131072,524288,300.655,1743.817
pipelined,262144,1048576,1029.099,1018.926
pipelined,524288,2097152,1098.245,1909.548
pipelined,1048576,4194304,912.205,4597.984
pipelined,2097152,8388608,1280.971,6548.634
pipelined,4194304,16777216,1552.815,10804.385
pipelined,8388608,33554432,2513.499,13349.688
pipelined,16777216,67108864,3211.200,20898.374
pipelined,33554432,134217728,4545.585,29527.053
pipelined,67108864,268435456,7261.330,36967.809
pipelined,134217728,536870912,12909.390,41587.629
pipelined,268435456,1073741824,23715.215,45276.496
pipelined,536870912,2147483648,38197.570,56220.426
pipelined,1073741824,4294967296,72017.879,59637.514
