impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Async-2,256,1024,585.745,52.018,444.000,717.000,1.748
Async-2,512,2048,579.560,88.509,359.000,775.000,3.534
Async-2,1024,4096,620.750,81.678,454.000,846.000,6.598
Async-2,2048,8192,527.270,64.987,345.000,688.000,15.537
Async-2,4096,16384,486.705,68.306,324.000,704.000,33.663
Async-2,8192,32768,603.690,99.405,344.000,810.000,54.280
Async-2,16384,65536,561.795,71.616,366.000,741.000,116.655
Async-2,32768,131072,475.335,52.433,308.000,609.000,275.747
Async-2,65536,262144,500.030,59.528,334.000,685.000,524.257
Async-2,131072,524288,581.805,68.079,399.000,768.000,901.140
Async-2,262144,1048576,2832.905,3644.714,769.000,30640.000,370.142
Async-2,524288,2097152,2584.765,2523.728,1308.000,24062.000,811.351
Async-2,1048576,4194304,2960.555,3894.124,1205.000,29366.000,1416.729
Async-2,2097152,8388608,2720.285,2363.502,1248.000,21409.000,3083.724
Async-2,4194304,16777216,4907.700,5236.988,3126.000,48767.000,3418.550
Async-2,8388608,33554432,5548.140,6295.101,3397.000,53468.000,6047.870
Async-2,16777216,67108864,6269.040,5580.567,4176.000,44081.000,10704.807
Async-2,33554432,134217728,7726.785,7914.640,5207.000,91951.000,17370.449
Async-2,67108864,268435456,10182.390,6230.332,7470.000,44440.000,26362.716
Async-2,134217728,536870912,16265.935,9556.758,12140.000,90894.000,33005.844
Async-2,268435456,1073741824,25832.185,8638.595,21173.000,66698.000,41566.047
Async-2,536870912,2147483648,45950.665,7627.775,40162.000,75336.000,46734.550
Async-2,1073741824,4294967296,90426.545,11668.945,79504.000,151363.000,47496.753
Async-4,256,1024,842.060,94.283,669.000,1167.000,1.216
Async-4,512,2048,934.870,89.849,672.000,1141.000,2.191
Async-4,1024,4096,804.315,71.843,578.000,1044.000,5.093
Async-4,2048,8192,836.355,80.612,653.000,1102.000,9.795
Async-4,4096,16384,785.360,75.914,641.000,1053.000,20.862
Async-4,8192,32768,849.405,101.648,539.000,1093.000,38.578
Async-4,16384,65536,774.340,78.446,588.000,1201.000,84.635
Async-4,32768,131072,747.985,64.633,558.000,962.000,175.233
Async-4,65536,262144,825.755,97.275,583.000,1365.000,317.460
Async-4,131072,524288,821.920,71.220,667.000,997.000,637.882
Async-4,262144,1048576,2942.905,2543.372,1719.000,27110.000,356.306
Async-4,524288,2097152,3205.900,3619.244,1502.000,29891.000,654.154
Async-4,1048576,4194304,3236.485,3335.817,1545.000,26096.000,1295.944
Async-4,2097152,8388608,3517.420,4359.475,1577.000,35058.000,2384.875
Async-4,4194304,16777216,3943.070,5186.046,1635.000,45111.000,4254.861
Async-4,8388608,33554432,5766.490,6059.390,3598.000,51115.000,5818.866
Async-4,16777216,67108864,6448.075,5641.871,4241.000,50875.000,10407.581
Async-4,33554432,134217728,7992.080,6533.059,5447.000,52272.000,16793.842
Async-4,67108864,268435456,10358.735,6257.831,7610.000,46749.000,25913.923
Async-4,134217728,536870912,14855.185,6352.523,12035.000,57721.000,36140.305
Async-4,268435456,1073741824,25058.555,7955.557,20708.000,61768.000,42849.311
Async-4,536870912,2147483648,45013.350,7719.992,39719.000,80065.000,47707.706
Async-4,1073741824,4294967296,85096.755,7498.948,78036.000,105597.000,50471.576
Async-8,256,1024,1175.315,66.935,1032.000,1466.000,0.871
Async-8,512,2048,1242.950,101.217,985.000,1519.000,1.648
Async-8,1024,4096,1237.785,85.001,970.000,1485.000,3.309
Async-8,2048,8192,1284.355,83.486,997.000,1810.000,6.378
Async-8,4096,16384,1211.025,82.103,1011.000,1671.000,13.529
Async-8,8192,32768,1087.390,82.292,852.000,1266.000,30.135
Async-8,16384,65536,1069.815,71.333,863.000,1276.000,61.259
Async-8,32768,131072,1150.270,84.269,935.000,1459.000,113.949
Async-8,65536,262144,1222.925,71.092,1026.000,1388.000,214.358
Async-8,131072,524288,1124.395,71.274,956.000,1339.000,466.285
Async-8,262144,1048576,3681.050,3625.545,2071.000,27538.000,284.858
Async-8,524288,2097152,3673.305,3613.858,2023.000,31804.000,570.917
Async-8,1048576,4194304,3790.940,3576.823,1631.000,27577.000,1106.402
Async-8,2097152,8388608,3752.940,3885.051,1976.000,29373.000,2235.210
Async-8,4194304,16777216,3838.990,3670.450,2077.000,32651.000,4370.216
Async-8,8388608,33554432,4130.685,3517.727,2314.000,31436.000,8123.212
Async-8,16777216,67108864,7270.930,6677.722,4718.000,53356.000,9229.750
Async-8,33554432,134217728,8071.165,5818.258,6088.000,43327.000,16629.288
Async-8,67108864,268435456,10550.050,6103.695,7957.000,46735.000,25443.998
Async-8,134217728,536870912,15087.255,7306.659,12131.000,71974.000,35584.400
Async-8,268435456,1073741824,24412.850,7151.254,20949.000,54153.000,43982.649
Async-8,536870912,2147483648,44985.840,8022.859,39732.000,74874.000,47736.880
Async-8,1073741824,4294967296,83803.980,6771.795,77592.000,106644.000,51250.159
