impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.910,208.544
nccl,512,2048,5.150,397.682
nccl,1024,4096,4.970,824.172
nccl,2048,8192,5.419,1511.647
nccl,4096,16384,5.569,2941.758
nccl,8192,32768,5.355,6119.277
nccl,16384,65536,5.885,11135.423
nccl,32768,131072,5.366,24428.163
nccl,65536,262144,5.366,48856.326
nccl,131072,524288,5.430,96554.259
nccl,262144,1048576,5.405,194002.934
nccl,524288,2097152,5.095,411609.407
nccl,1048576,4194304,4.790,875668.793
nccl,2097152,8388608,5.195,1614702.712
nccl,4194304,16777216,5.624,2982990.427
nccl,8388608,33554432,4.705,7131365.004
nccl,16777216,67108864,4.699,14280820.736
nccl,33554432,134217728,4.755,28225116.742
nccl,67108864,268435456,4.665,57546634.646
nccl,134217728,536870912,5.065,105991989.347
nccl,268435456,1073741824,4.725,227225006.426
nccl,536870912,2147483648,4.641,462738209.851
nccl,1073741824,4294967296,4.715,910968319.064
naive,256,1024,94.395,10.848
naive,512,2048,90.846,22.544
naive,1024,4096,95.805,42.754
naive,2048,8192,95.785,85.525
naive,4096,16384,97.849,167.441
naive,8192,32768,96.425,339.830
naive,16384,65536,96.661,677.999
naive,32768,131072,99.815,1313.148
naive,65536,262144,86.385,3034.601
naive,131072,524288,120.975,4333.862
naive,262144,1048576,591.694,1772.159
naive,524288,2097152,793.481,2642.977
naive,1048576,4194304,656.689,6387.044
naive,2097152,8388608,897.681,9344.759
naive,4194304,16777216,902.624,18587.157
naive,8388608,33554432,1420.325,23624.474
naive,16777216,67108864,2280.790,29423.522
naive,33554432,134217728,3486.660,38494.647
naive,67108864,268435456,5263.815,50996.370
naive,134217728,536870912,9947.259,53971.741
naive,268435456,1073741824,19197.830,55930.375
naive,536870912,2147483648,37533.995,57214.364
naive,1073741824,4294967296,73452.981,58472.335
pipelined,256,1024,173.510,5.902
pipelined,512,2048,154.905,13.221
pipelined,1024,4096,152.695,26.825
pipelined,2048,8192,153.166,53.484
pipelined,4096,16384,122.709,133.519
pipelined,8192,32768,160.631,203.996
pipelined,16384,65536,163.395,401.088
pipelined,32768,131072,161.531,811.436
pipelined,65536,262144,171.920,1524.802
pipelined,131072,524288,192.795,2719.409
pipelined,262144,1048576,698.404,1501.388
pipelined,524288,2097152,1081.610,1938.917
pipelined,1048576,4194304,713.655,5877.217
pipelined,2097152,8388608,1506.186,5569.439
pipelined,4194304,16777216,1680.350,9984.356
pipelined,8388608,33554432,2193.019,15300.563
pipelined,16777216,67108864,2677.555,25063.486
pipelined,33554432,134217728,4311.246,31132.006
pipelined,67108864,268435456,7151.229,37536.966
pipelined,134217728,536870912,10665.364,50337.794
pipelined,268435456,1073741824,19938.595,53852.431
pipelined,536870912,2147483648,39605.891,54221.320
pipelined,1073741824,4294967296,74548.830,57612.806
