impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.420,231.660
nccl,512,2048,4.700,435.706
nccl,1024,4096,4.805,852.387
nccl,2048,8192,4.920,1665.119
nccl,4096,16384,5.325,3076.762
nccl,8192,32768,4.810,6812.340
nccl,16384,65536,5.720,11458.020
nccl,32768,131072,4.770,27480.920
nccl,65536,262144,4.680,56011.800
nccl,131072,524288,4.860,107874.577
nccl,262144,1048576,4.790,218917.198
nccl,524288,2097152,4.921,426167.298
nccl,1048576,4194304,4.774,878511.163
nccl,2097152,8388608,5.031,1667505.786
nccl,4194304,16777216,5.015,3345317.051
nccl,8388608,33554432,5.045,6651110.036
nccl,16777216,67108864,4.655,14416131.970
nccl,33554432,134217728,4.715,28467759.971
nccl,67108864,268435456,4.685,57297705.183
nccl,134217728,536870912,5.150,104249991.374
nccl,268435456,1073741824,4.735,226767352.838
nccl,536870912,2147483648,4.669,459902948.927
nccl,1073741824,4294967296,4.705,912814720.521
naive,256,1024,90.560,11.307
naive,512,2048,66.705,30.702
naive,1024,4096,93.006,44.040
naive,2048,8192,94.800,86.414
naive,4096,16384,94.244,173.846
naive,8192,32768,97.924,334.625
naive,16384,65536,96.065,682.206
naive,32768,131072,98.549,1330.017
naive,65536,262144,107.045,2448.910
naive,131072,524288,117.904,4446.738
naive,262144,1048576,592.146,1770.807
naive,524288,2097152,577.195,3633.353
naive,1048576,4194304,844.865,4964.467
naive,2097152,8388608,675.540,12417.634
naive,4194304,16777216,1125.375,14908.111
naive,8388608,33554432,1424.916,23548.361
naive,16777216,67108864,2234.590,30031.846
naive,33554432,134217728,4469.991,30026.400
naive,67108864,268435456,5234.420,51282.748
naive,134217728,536870912,10069.021,53319.078
naive,268435456,1073741824,19429.480,55263.539
naive,536870912,2147483648,37745.606,56893.607
naive,1073741824,4294967296,73786.731,58207.855
pipelined,256,1024,316.945,3.231
pipelined,512,2048,251.039,8.158
pipelined,1024,4096,292.050,14.025
pipelined,2048,8192,271.295,30.196
pipelined,4096,16384,272.505,60.124
pipelined,8192,32768,244.050,134.268
pipelined,16384,65536,283.796,230.927
pipelined,32768,131072,301.360,434.935
pipelined,65536,262144,318.780,822.335
pipelined,131072,524288,318.755,1644.800
pipelined,262144,1048576,1047.169,1001.344
pipelined,524288,2097152,1007.305,2081.943
pipelined,1048576,4194304,1190.774,3522.333
pipelined,2097152,8388608,1324.821,6331.883
pipelined,4194304,16777216,1557.250,10773.617
pipelined,8388608,33554432,2569.636,13058.048
pipelined,16777216,67108864,3243.076,20692.969
pipelined,33554432,134217728,4567.220,29387.181
pipelined,67108864,268435456,7406.371,36243.859
pipelined,134217728,536870912,13045.635,41153.298
pipelined,268435456,1073741824,24437.164,43938.888
pipelined,536870912,2147483648,38908.870,55192.650
pipelined,1073741824,4294967296,72591.335,59166.391
